"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2021,10,"Sant Martí",65,"el Clot","Dones","Menys d'1 any",615
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Menys d'1 any",433
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Menys d'1 any",212
2021,10,"Sant Martí",68,"el Poblenou","Dones","Menys d'1 any",909
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Menys d'1 any",347
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Menys d'1 any",873
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Menys d'1 any",466
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Menys d'1 any",556
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Menys d'1 any",610
2021,1,"Ciutat Vella",1,"el Raval","Dones","D'1 a 5 anys",8210
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","D'1 a 5 anys",3879
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","D'1 a 5 anys",2647
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","D'1 a 5 anys",4295
2021,2,"Eixample",5,"el Fort Pienc","Dones","D'1 a 5 anys",4476
2021,2,"Eixample",6,"la Sagrada Família","Dones","D'1 a 5 anys",6966
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","D'1 a 5 anys",6218
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","D'1 a 5 anys",6047
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","D'1 a 5 anys",7341
2021,2,"Eixample",10,"Sant Antoni","Dones","D'1 a 5 anys",5020
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","D'1 a 5 anys",5641
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","D'1 a 5 anys",136
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","D'1 a 5 anys",3072
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","D'1 a 5 anys",1184
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","D'1 a 5 anys",2261
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","D'1 a 5 anys",2067
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","D'1 a 5 anys",3117
2021,3,"Sants-Montjuïc",18,"Sants","Dones","D'1 a 5 anys",5549
2021,4,"Les Corts",19,"les Corts","Dones","D'1 a 5 anys",4819
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","D'1 a 5 anys",2593
2021,4,"Les Corts",21,"Pedralbes","Dones","D'1 a 5 anys",1404
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","D'1 a 5 anys",489
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","D'1 a 5 anys",2789
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","D'1 a 5 anys",1652
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","D'1 a 5 anys",2924
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","D'1 a 5 anys",5609
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","D'1 a 5 anys",3577
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","D'1 a 5 anys",1796
2021,6,"Gràcia",29,"el Coll","Dones","D'1 a 5 anys",879
2021,6,"Gràcia",30,"la Salut","Dones","D'1 a 5 anys",1388
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","D'1 a 5 anys",7397
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","D'1 a 5 anys",4160
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","D'1 a 5 anys",2762
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","D'1 a 5 anys",1058
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","D'1 a 5 anys",4093
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","D'1 a 5 anys",761
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","D'1 a 5 anys",3369
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","D'1 a 5 anys",1289
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","D'1 a 5 anys",872
2021,7,"Horta-Guinardó",40,"Montbau","Dones","D'1 a 5 anys",594
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","D'1 a 5 anys",538
2021,7,"Horta-Guinardó",42,"la Clota","Dones","D'1 a 5 anys",77
2021,7,"Horta-Guinardó",43,"Horta","Dones","D'1 a 5 anys",2822
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","D'1 a 5 anys",2502
2021,8,"Nou Barris",45,"Porta","Dones","D'1 a 5 anys",3509
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","D'1 a 5 anys",2033
2021,8,"Nou Barris",47,"Can Peguera","Dones","D'1 a 5 anys",162
2021,8,"Nou Barris",48,"la Guineueta","Dones","D'1 a 5 anys",1231
2021,8,"Nou Barris",49,"Canyelles","Dones","D'1 a 5 anys",409
2021,8,"Nou Barris",50,"les Roquetes","Dones","D'1 a 5 anys",2097
2021,8,"Nou Barris",51,"Verdun","Dones","D'1 a 5 anys",1541
2021,8,"Nou Barris",52,"la Prosperitat","Dones","D'1 a 5 anys",2719
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","D'1 a 5 anys",935
2021,8,"Nou Barris",54,"Torre Baró","Dones","D'1 a 5 anys",271
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","D'1 a 5 anys",1593
2021,8,"Nou Barris",56,"Vallbona","Dones","D'1 a 5 anys",158
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","D'1 a 5 anys",1317
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","D'1 a 5 anys",276
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","D'1 a 5 anys",1523
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","D'1 a 5 anys",4710
2021,9,"Sant Andreu",61,"la Sagrera","Dones","D'1 a 5 anys",2929
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","D'1 a 5 anys",1474
2021,9,"Sant Andreu",63,"Navas","Dones","D'1 a 5 anys",2215
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","D'1 a 5 anys",4575
2021,10,"Sant Martí",65,"el Clot","Dones","D'1 a 5 anys",2660
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","D'1 a 5 anys",1898
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","D'1 a 5 anys",981
2021,10,"Sant Martí",68,"el Poblenou","Dones","D'1 a 5 anys",3863
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","D'1 a 5 anys",1540
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","D'1 a 5 anys",3411
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","D'1 a 5 anys",2175
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","D'1 a 5 anys",2415
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","D'1 a 5 anys",2613
2021,1,"Ciutat Vella",1,"el Raval","Dones","De 6 a 15 anys",5703
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","De 6 a 15 anys",1457
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","De 6 a 15 anys",1243
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","De 6 a 15 anys",2243
2021,2,"Eixample",5,"el Fort Pienc","Dones","De 6 a 15 anys",3389
2021,2,"Eixample",6,"la Sagrada Família","Dones","De 6 a 15 anys",5178
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","De 6 a 15 anys",4479
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","De 6 a 15 anys",4412
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","De 6 a 15 anys",5796
2021,2,"Eixample",10,"Sant Antoni","Dones","De 6 a 15 anys",4027
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","De 6 a 15 anys",4735
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","De 6 a 15 anys",144
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","De 6 a 15 anys",3337
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","De 6 a 15 anys",1072
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","De 6 a 15 anys",1748
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","De 6 a 15 anys",2017
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","De 6 a 15 anys",2705
2021,3,"Sants-Montjuïc",18,"Sants","Dones","De 6 a 15 anys",4622
2021,4,"Les Corts",19,"les Corts","Dones","De 6 a 15 anys",4679
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","De 6 a 15 anys",2459
2021,4,"Les Corts",21,"Pedralbes","Dones","De 6 a 15 anys",1432
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","De 6 a 15 anys",582
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","De 6 a 15 anys",2989
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","De 6 a 15 anys",1895
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","De 6 a 15 anys",2975
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","De 6 a 15 anys",5444
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","De 6 a 15 anys",3382
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","De 6 a 15 anys",1767
2021,6,"Gràcia",29,"el Coll","Dones","De 6 a 15 anys",826
2021,6,"Gràcia",30,"la Salut","Dones","De 6 a 15 anys",1405
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","De 6 a 15 anys",5518
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","De 6 a 15 anys",3412
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","De 6 a 15 anys",2594
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","De 6 a 15 anys",949
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","De 6 a 15 anys",4072
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","De 6 a 15 anys",854
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","De 6 a 15 anys",3467
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","De 6 a 15 anys",1157
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","De 6 a 15 anys",730
2021,7,"Horta-Guinardó",40,"Montbau","Dones","De 6 a 15 anys",441
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","De 6 a 15 anys",536
2021,7,"Horta-Guinardó",42,"la Clota","Dones","De 6 a 15 anys",67
2021,7,"Horta-Guinardó",43,"Horta","Dones","De 6 a 15 anys",2682
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","De 6 a 15 anys",2664
2021,8,"Nou Barris",45,"Porta","Dones","De 6 a 15 anys",2893
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","De 6 a 15 anys",2057
2021,8,"Nou Barris",47,"Can Peguera","Dones","De 6 a 15 anys",241
2021,8,"Nou Barris",48,"la Guineueta","Dones","De 6 a 15 anys",1508
2021,8,"Nou Barris",49,"Canyelles","Dones","De 6 a 15 anys",560
2021,8,"Nou Barris",50,"les Roquetes","Dones","De 6 a 15 anys",1911
2021,8,"Nou Barris",51,"Verdun","Dones","De 6 a 15 anys",1482
2021,8,"Nou Barris",52,"la Prosperitat","Dones","De 6 a 15 anys",2791
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","De 6 a 15 anys",902
2021,8,"Nou Barris",54,"Torre Baró","Dones","De 6 a 15 anys",450
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","De 6 a 15 anys",1507
2021,8,"Nou Barris",56,"Vallbona","Dones","De 6 a 15 anys",213
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","De 6 a 15 anys",1376
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","De 6 a 15 anys",313
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","De 6 a 15 anys",1479
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","De 6 a 15 anys",5989
2021,9,"Sant Andreu",61,"la Sagrera","Dones","De 6 a 15 anys",3150
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","De 6 a 15 anys",1591
2021,9,"Sant Andreu",63,"Navas","Dones","De 6 a 15 anys",2321
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","De 6 a 15 anys",3981
2021,10,"Sant Martí",65,"el Clot","Dones","De 6 a 15 anys",2629
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","De 6 a 15 anys",1713
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","De 6 a 15 anys",963
2021,10,"Sant Martí",68,"el Poblenou","Dones","De 6 a 15 anys",4008
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","De 6 a 15 anys",1673
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","De 6 a 15 anys",2641
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","De 6 a 15 anys",2334
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","De 6 a 15 anys",2704
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","De 6 a 15 anys",2801
2021,1,"Ciutat Vella",1,"el Raval","Dones","Més de 15 anys",6429
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Més de 15 anys",2284
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Més de 15 anys",2992
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Més de 15 anys",3741
2021,2,"Eixample",5,"el Fort Pienc","Dones","Més de 15 anys",8453
2021,2,"Eixample",6,"la Sagrada Família","Dones","Més de 15 anys",14209
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Més de 15 anys",11000
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Més de 15 anys",10703
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Més de 15 anys",15965
2021,2,"Eixample",10,"Sant Antoni","Dones","Més de 15 anys",10024
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Més de 15 anys",8603
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Més de 15 anys",354
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Més de 15 anys",9067
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Més de 15 anys",2844
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Més de 15 anys",3818
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Més de 15 anys",5625
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Més de 15 anys",6670
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Més de 15 anys",10980
2021,4,"Les Corts",19,"les Corts","Dones","Més de 15 anys",14180
