activity_period,activity_type_code,boarding_area,geo_region,geo_summary,operating_airline,operating_airline_iata_code,passenger_count,price_category_code,published_airline,published_airline_iata_code,terminal
200511,Deplaned,B,US,Domestic,Horizon Air ,QX,4339,Other,Alaska Airlines,AS,Terminal 1
200511,Enplaned,B,US,Domestic,Horizon Air ,QX,4472,Other,Alaska Airlines,AS,Terminal 1
200511,Deplaned,A,US,Domestic,Independence Air,DH,1555,Low Fare,Independence Air,DH,International
200511,Enplaned,A,US,Domestic,Independence Air,DH,1790,Low Fare,Independence Air,DH,International
200511,Deplaned,A,Asia,International,Japan Airlines,JL,6925,Other,Japan Airlines,JL,International
200511,Enplaned,A,Asia,International,Japan Airlines,JL,8103,Other,Japan Airlines,JL,International
200511,Deplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,7535,Other,KLM Royal Dutch Airlines,KL,International
200511,Enplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,7110,Other,KLM Royal Dutch Airlines,KL,International
200511,Deplaned,A,Asia,International,Korean Air Lines,KE,4514,Other,Korean Air Lines,KE,International
200511,Enplaned,A,Asia,International,Korean Air Lines,KE,4409,Other,Korean Air Lines,KE,International
200511,Deplaned,G,Europe,International,Lufthansa German Airlines,LH,15301,Other,Lufthansa German Airlines,LH,International
200511,Enplaned,G,Europe,International,Lufthansa German Airlines,LH,15229,Other,Lufthansa German Airlines,LH,International
200511,Deplaned,B,US,Domestic,Mesa Airlines,YV,1201,Other,US Airways,US ,Terminal 1
200511,Enplaned,B,US,Domestic,Mesa Airlines,YV,1441,Other,US Airways,US ,Terminal 1
200511,Deplaned,G,Mexico,International,Mexicana Airlines,MX,5431,Other,Mexicana Airlines,MX,International
200511,Enplaned,G,Mexico,International,Mexicana Airlines,MX,8184,Other,Mexicana Airlines,MX,International
200511,Deplaned,A,US,Domestic,Midwest Airlines,YX,1468,Other,Midwest Airlines,YX,Terminal 1
200511,Enplaned,A,US,Domestic,Midwest Airlines,YX,2537,Other,Midwest Airlines,YX,Terminal 1
200511,Deplaned,C,US,Domestic,Northwest Airlines,NW,44859,Other,Northwest Airlines,NW,Terminal 1
200511,Enplaned,C,US,Domestic,Northwest Airlines,NW,46200,Other,Northwest Airlines,NW,Terminal 1
200511,Deplaned,A,Asia,International,Northwest Airlines,NW,6199,Other,Northwest Airlines,NW,International
200511,Enplaned,A,Asia,International,Northwest Airlines,NW,5965,Other,Northwest Airlines,NW,International
200511,Deplaned,A,Asia,International,Philippine Airlines,PR,9116,Other,Philippine Airlines,PR,International
200511,Enplaned,A,Asia,International,Philippine Airlines,PR,8086,Other,Philippine Airlines,PR,International
200511,Deplaned,G,Asia,International,Singapore Airlines,SQ,15019,Other,Singapore Airlines,SQ,International
200511,Enplaned,G,Asia,International,Singapore Airlines,SQ,16438,Other,Singapore Airlines,SQ,International
200511,Deplaned,C,US,Domestic,SkyWest Airlines,OO,6431,Other,Delta Air Lines,DL,Terminal 1
200511,Enplaned,C,US,Domestic,SkyWest Airlines,OO,6472,Other,Delta Air Lines,DL,Terminal 1
200511,Deplaned,F,US,Domestic,SkyWest Airlines,OO,90860,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Enplaned,F,US,Domestic,SkyWest Airlines,OO,89742,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Deplaned,F,Canada,International,SkyWest Airlines,OO,3046,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Enplaned,F,Canada,International,SkyWest Airlines,OO,3064,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Deplaned,B,US,Domestic,Sun Country Airlines,SY,3868,Low Fare,Sun Country Airlines,SY,Terminal 1
200511,Enplaned,B,US,Domestic,Sun Country Airlines,SY,3811,Low Fare,Sun Country Airlines,SY,Terminal 1
200511,Deplaned,G,Central America,International,TACA,TA,4105,Other,TACA,TA,International
200511,Enplaned,G,Central America,International,TACA,TA,4259,Other,TACA,TA,International
200511,Deplaned,A,US,Domestic,US Airways,US ,27469,Other,US Airways,US ,Terminal 1
200511,Enplaned,A,US,Domestic,US Airways,US ,29799,Other,US Airways,US ,Terminal 1
200511,Deplaned,B,US,Domestic,US Airways,US ,33531,Low Fare,US Airways,US ,Terminal 1
200511,Enplaned,B,US,Domestic,US Airways,US ,33243,Low Fare,US Airways,US ,Terminal 1
200511,Deplaned,B,US,Domestic,United Airlines,UA,46958,Other,United Airlines,UA,Terminal 1
200511,Enplaned,B,US,Domestic,United Airlines,UA,47813,Other,United Airlines,UA,Terminal 1
200511,Deplaned,E,US,Domestic,United Airlines - Pre 07/01/2013,UA,58938,Low Fare,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Enplaned,E,US,Domestic,United Airlines - Pre 07/01/2013,UA,57821,Low Fare,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Deplaned,F,US,Domestic,United Airlines - Pre 07/01/2013,UA,380704,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Enplaned,F,US,Domestic,United Airlines - Pre 07/01/2013,UA,374221,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Thru / Transit,F,US,Domestic,United Airlines - Pre 07/01/2013,UA,7299,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
200511,Deplaned,G,Asia,International,United Airlines - Pre 07/01/2013,UA,64080,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Enplaned,G,Asia,International,United Airlines - Pre 07/01/2013,UA,60797,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Thru / Transit,G,Asia,International,United Airlines - Pre 07/01/2013,UA,3465,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Deplaned,G,Australia / Oceania,International,United Airlines - Pre 07/01/2013,UA,7591,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Enplaned,G,Australia / Oceania,International,United Airlines - Pre 07/01/2013,UA,7850,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Thru / Transit,G,Australia / Oceania,International,United Airlines - Pre 07/01/2013,UA,1411,Other,United Airlines - Pre 07/01/2013,UA,International
200511,Deplaned,F,Canada,International,United Airlines - Pre 07/01/2013,UA,7794,Other,United Airlines - Pre 07/01/2013,UA,Terminal 3
